PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Survived
1022,3,0,32.0,0,0,8.05,1,0
319,1,1,31.0,0,2,164.8667,2,1
925,3,1,25.0,1,2,23.45,3,1
653,3,0,21.0,0,0,8.4333,1,0
1190,1,0,30.0,0,0,45.5,1,0
1250,3,0,25.0,0,0,7.75,1,0
898,3,1,30.0,0,0,7.6292,2,1
1267,1,1,45.0,0,0,262.375,2,1
1110,1,1,50.0,1,1,211.5,3,1
856,3,1,18.0,0,1,9.35,3,1
95,3,0,59.0,0,0,7.25,1,0
878,3,0,19.0,0,0,7.8958,1,0
1287,1,1,18.0,1,0,60.0,3,1
429,3,0,25.0,0,0,7.75,1,0
247,3,1,25.0,0,0,7.775,2,0
622,1,0,42.0,1,0,52.5542,1,1
834,3,0,23.0,0,0,7.8542,1,0
1078,2,1,21.0,0,1,21.0,2,1
987,3,0,25.0,0,0,7.7958,1,0
98,1,0,23.0,0,1,63.3583,1,1
67,2,1,29.0,0,0,10.5,3,1
1027,3,0,24.0,0,0,7.8542,1,0
541,1,1,36.0,0,2,71.0,2,1
1129,3,0,20.0,0,0,7.225,1,0
288,3,0,22.0,0,0,7.8958,1,0
1164,1,1,26.0,1,0,136.7792,3,1
669,3,0,43.0,0,0,8.05,1,0
159,3,0,25.0,0,0,8.6625,1,0
1294,1,1,22.0,0,1,59.4,2,1
922,2,0,50.0,1,0,26.0,1,0
1249,3,0,25.0,0,0,7.8792,1,0
1244,2,0,18.0,0,0,73.5,1,0
813,2,0,35.0,0,0,10.5,1,0
1021,3,0,24.0,0,0,8.05,1,0
601,2,1,24.0,2,1,27.0,3,1
1034,1,0,61.0,1,3,262.375,1,0
279,3,0,7.0,4,1,29.125,4,0
341,2,0,2.0,1,1,26.0,4,1
1286,3,0,29.0,3,1,22.025,1,0
890,1,0,26.0,0,0,30.0,1,1
1067,2,1,15.0,0,2,39.0,2,1
219,1,1,32.0,0,0,76.2917,2,1
891,3,0,32.0,0,0,7.75,1,0
811,3,0,26.0,0,0,7.8875,1,0
1301,3,1,3.0,1,1,13.775,2,1
91,3,0,29.0,0,0,8.05,1,0
1042,1,1,23.0,0,1,83.1583,3,1
1143,3,0,20.0,0,0,7.925,1,0
297,3,0,23.5,0,0,7.2292,1,0
396,3,0,22.0,0,0,7.7958,1,0
386,2,0,18.0,0,0,73.5,1,0
495,3,0,21.0,0,0,8.05,1,0
696,2,0,52.0,0,0,13.5,1,0
1289,1,1,48.0,1,1,79.2,3,1
901,3,0,21.0,2,0,24.15,1,0
248,2,1,24.0,0,2,14.5,3,1
176,3,0,18.0,1,1,7.8542,1,0
511,3,0,29.0,0,0,7.75,1,1
417,2,1,34.0,1,1,32.5,3,1
536,2,1,7.0,0,2,26.25,2,1
1106,3,1,38.0,4,2,7.775,2,1
517,2,1,34.0,0,0,10.5,3,1
869,3,0,25.0,0,0,9.5,1,0
713,1,0,48.0,1,0,52.0,1,1
231,1,1,35.0,1,0,83.475,3,1
895,3,0,27.0,0,0,8.6625,1,0
523,3,0,25.0,0,0,7.225,1,0
531,2,1,2.0,1,1,26.0,2,1
629,3,0,26.0,0,0,7.8958,1,0
621,3,0,27.0,1,0,14.4542,1,0
445,3,0,25.0,0,0,8.1125,1,1
405,3,1,20.0,0,0,8.6625,2,0
803,1,0,11.0,1,2,120.0,4,1
34,2,0,66.0,0,0,10.5,1,0
123,2,0,32.5,1,0,30.0708,1,0
444,2,1,28.0,0,0,13.0,2,1
422,3,0,21.0,0,0,7.7333,1,0
767,1,0,39.0,0,0,39.6,5,0
506,1,0,18.0,1,0,108.9,1,0
1126,1,0,39.0,1,0,71.2833,1,0
483,3,0,50.0,0,0,8.05,1,0
136,2,0,23.0,0,0,15.0458,1,0
365,3,0,25.0,1,0,15.5,1,0
614,3,0,25.0,0,0,7.75,1,0
907,2,1,24.0,1,0,27.7208,3,1
202,3,0,25.0,8,2,69.55,1,0
227,2,0,19.0,0,0,10.5,1,1
1070,2,1,36.0,0,3,39.0,3,1
276,1,1,63.0,1,0,77.9583,2,1
939,3,0,25.0,0,0,7.75,1,0
438,2,1,24.0,2,3,18.75,3,1
33,3,1,25.0,0,0,7.75,2,1
1239,3,1,38.0,0,0,7.2292,3,1
130,3,0,45.0,0,0,6.975,1,0
273,2,1,41.0,0,1,19.5,3,1
306,1,0,0.92,1,2,151.55,4,1
666,2,0,32.0,2,0,73.5,1,0
164,3,0,17.0,0,0,8.6625,1,0
1193,2,0,29.0,0,0,15.0458,1,0
191,2,1,32.0,0,0,13.0,3,1
566,3,0,24.0,2,0,24.15,1,0
1278,3,0,24.0,0,0,7.775,1,0
1066,3,0,40.0,1,5,31.3875,1,0
387,3,0,1.0,5,2,46.9,4,0
465,3,0,25.0,0,0,8.05,1,0
737,3,1,48.0,1,3,34.375,3,0
952,3,0,17.0,0,0,7.8958,1,0
885,3,0,25.0,0,0,7.05,1,0
706,2,0,39.0,0,0,26.0,1,0
18,2,0,29.0,0,0,13.0,1,1
121,2,0,21.0,2,0,73.5,1,0
1175,3,1,9.0,1,1,15.2458,2,1
379,3,0,20.0,0,0,4.0125,1,0
432,3,1,25.0,1,0,16.1,3,1
134,2,1,29.0,1,0,26.0,3,1
1098,3,1,35.0,0,0,7.75,2,1
829,3,0,25.0,0,0,7.75,1,1
1196,3,1,25.0,0,0,7.75,2,1
1309,3,0,25.0,1,1,22.3583,4,0
587,2,0,47.0,0,0,15.0,1,0
804,3,0,0.42,0,1,8.5167,4,1
1242,1,1,45.0,0,1,63.3583,3,1
1087,3,0,33.0,0,0,7.8542,1,0
1150,2,1,19.0,0,0,13.0,2,1
962,3,1,24.0,0,0,7.75,2,1
1192,3,0,32.0,0,0,7.775,1,0
1026,3,0,43.0,0,0,7.8958,1,0
300,1,1,50.0,0,1,247.5208,3,1
514,1,1,54.0,1,0,59.4,3,1
861,3,0,41.0,2,0,14.1083,1,0
579,3,1,25.0,1,0,14.4583,3,0
533,3,0,17.0,1,1,7.2292,1,0
704,3,0,25.0,0,0,7.7417,1,0
718,2,1,27.0,0,0,10.5,2,1
1053,3,0,7.0,1,1,15.2458,4,0
1261,2,0,29.0,0,0,13.8583,1,0
569,3,0,25.0,0,0,7.2292,1,0
979,3,1,18.0,0,0,8.05,2,1
349,3,0,3.0,1,1,15.9,4,1
1118,3,0,23.0,0,0,7.7958,1,0
1247,1,0,50.0,0,0,26.0,1,0
1283,1,1,51.0,0,1,39.4,3,1
223,3,0,51.0,0,0,8.05,1,0
993,2,0,27.0,1,0,26.0,1,0
315,2,0,43.0,1,1,26.25,1,0
375,3,1,3.0,3,1,21.075,2,0
77,3,0,25.0,0,0,7.8958,1,0
265,3,1,25.0,0,0,7.75,2,0
596,3,0,36.0,1,1,24.15,1,0
224,3,0,25.0,0,0,7.8958,1,0
1075,3,0,25.0,0,0,7.75,1,0
730,3,1,25.0,1,0,7.925,2,0
427,2,1,28.0,1,0,26.0,3,1
815,3,0,30.5,0,0,8.05,1,0
114,3,1,20.0,1,0,9.825,2,0
35,1,0,28.0,1,0,82.1708,1,0
892,3,0,34.5,0,0,7.8292,1,0
359,3,1,25.0,0,0,7.8792,2,1
31,1,0,40.0,0,0,27.7208,5,0
678,3,1,18.0,0,0,9.8417,2,1
165,3,0,1.0,4,1,39.6875,4,0
665,3,0,20.0,1,0,7.925,1,1
179,2,0,30.0,0,0,13.0,1,0
787,3,1,18.0,0,0,7.4958,2,1
448,1,0,34.0,0,0,26.55,1,1
500,3,0,24.0,0,0,7.7958,1,0
326,1,1,36.0,0,0,135.6333,2,1
1059,3,0,18.0,2,2,34.375,1,0
1293,2,0,38.0,1,0,21.0,1,0
591,3,0,35.0,0,0,7.125,1,0
607,3,0,30.0,0,0,7.8958,1,0
871,3,0,26.0,0,0,7.8958,1,0
610,1,1,40.0,0,0,153.4625,2,1
408,2,0,3.0,1,1,18.75,4,1
934,3,0,41.0,0,0,7.85,1,0
1184,3,0,25.0,0,0,7.2292,1,0
131,3,0,33.0,0,0,7.8958,1,0
661,1,0,50.0,2,0,133.65,5,1
45,3,1,19.0,0,0,7.8792,2,1
537,1,0,45.0,0,0,26.55,5,0
503,3,1,25.0,0,0,7.6292,2,0
1109,1,0,57.0,1,1,164.8667,1,0
1019,3,1,25.0,2,0,23.25,2,1
945,1,1,28.0,3,2,263.0,2,1
1299,1,0,50.0,1,1,211.5,1,0
308,1,1,17.0,1,0,108.9,3,1
599,3,0,25.0,0,0,7.225,1,0
926,1,0,30.0,1,0,57.75,1,0
423,3,0,29.0,0,0,7.875,1,0
788,3,0,8.0,4,1,29.125,4,0
1266,1,1,54.0,1,1,81.8583,3,1
1229,3,0,39.0,0,2,7.2292,1,0
103,1,0,21.0,0,1,77.2875,1,0
143,3,1,24.0,1,0,15.85,3,1
617,3,0,34.0,1,1,14.4,1,0
66,3,0,25.0,1,1,15.2458,4,1
1226,3,0,27.0,0,0,7.8958,1,0
575,3,0,16.0,0,0,8.05,1,0
309,2,0,30.0,1,0,24.0,1,0
967,1,0,32.5,0,0,211.5,1,0
1306,1,1,39.0,0,0,108.9,5,1
959,1,0,47.0,0,0,42.4,1,0
1275,3,1,19.0,1,0,16.1,3,1
275,3,1,25.0,0,0,7.75,2,1
613,3,1,25.0,1,0,15.5,2,1
676,3,0,18.0,0,0,7.775,1,0
278,2,0,29.0,0,0,0.0,1,0
572,1,1,53.0,2,0,51.4792,3,1
482,2,0,29.0,0,0,0.0,1,0
488,1,0,58.0,0,0,29.7,1,0
1030,3,1,23.0,0,0,8.05,2,1
285,1,0,39.0,0,0,26.0,1,0
692,3,1,4.0,0,1,13.4167,2,1
1166,3,0,25.0,0,0,7.225,1,0
88,3,0,25.0,0,0,8.05,1,0
233,2,0,59.0,0,0,13.5,1,0
1151,3,0,21.0,0,0,7.775,1,0
410,3,1,25.0,3,1,25.4667,2,0
43,3,0,25.0,0,0,7.8958,1,0
956,1,0,13.0,2,2,262.375,4,0
1008,3,0,25.0,0,0,6.4375,1,0
1080,3,1,25.0,8,2,69.55,2,1
435,1,0,50.0,1,0,55.9,1,0
631,1,0,80.0,0,0,30.0,1,1
674,2,0,31.0,0,0,13.0,1,1
527,2,1,50.0,0,0,10.5,2,1
504,3,1,37.0,0,0,9.5875,2,0
554,3,0,22.0,0,0,7.225,1,1
113,3,0,22.0,0,0,8.05,1,0
353,3,0,15.0,1,1,7.2292,1,0
1058,1,0,48.0,0,0,50.4958,1,0
927,3,0,18.5,0,0,7.2292,1,0
239,2,0,19.0,0,0,10.5,1,0
1259,3,1,22.0,0,0,39.6875,2,1
742,1,0,36.0,1,0,78.85,1,0
1146,3,0,32.5,0,0,9.5,1,0
424,3,1,28.0,1,1,14.4,3,0
37,3,0,25.0,0,0,7.2292,1,1
32,1,1,39.0,1,0,146.5208,3,1
1213,3,0,25.0,0,0,7.2292,1,0
97,1,0,71.0,0,0,34.6542,1,0
73,2,0,21.0,0,0,73.5,1,0
1114,2,1,22.0,0,0,10.5,3,1
1068,2,1,20.0,0,0,36.75,2,1
237,2,0,44.0,1,0,26.0,1,0
464,2,0,48.0,0,0,13.0,1,0
573,1,0,36.0,0,0,26.3875,1,1
17,3,0,2.0,4,1,29.125,4,0
261,3,0,25.0,0,0,7.75,1,0
547,2,1,19.0,1,0,26.0,3,1
1254,2,1,31.0,0,0,21.0,3,1
1101,3,0,25.0,0,0,7.8958,1,0
457,1,0,65.0,0,0,26.55,1,0
559,1,1,39.0,1,1,79.65,3,1
380,3,0,19.0,0,0,7.775,1,0
122,3,0,25.0,0,0,8.05,1,0
75,3,0,32.0,0,0,56.4958,1,1
471,3,0,25.0,0,0,7.25,1,0
824,3,1,27.0,0,1,12.475,3,1
167,1,1,39.0,0,1,55.0,3,1
970,2,0,30.0,0,0,13.0,1,0
280,3,1,35.0,1,1,20.25,3,1
79,2,0,0.83,0,2,29.0,4,1
852,3,0,74.0,0,0,7.775,1,0
340,1,0,45.0,0,0,35.5,1,0
216,1,1,31.0,1,0,113.275,2,1
372,3,0,18.0,1,0,6.4958,1,0
362,2,0,29.0,1,0,27.7208,1,0
574,3,1,25.0,0,0,7.75,2,1
192,2,0,19.0,0,0,13.0,1,0
792,2,0,16.0,0,0,26.0,1,0
1235,1,1,58.0,0,1,512.3292,3,1
1153,3,0,21.0,0,0,7.8542,1,0
693,3,0,25.0,0,0,56.4958,1,1
1048,1,1,29.0,0,0,221.7792,2,1
70,3,0,26.0,2,0,8.6625,1,0
976,2,0,29.0,0,0,10.7083,1,0
1211,2,0,22.0,2,0,31.5,1,0
748,2,1,30.0,0,0,13.0,2,1
672,1,0,31.0,1,0,52.0,1,0
1017,3,1,17.0,0,1,16.1,2,1
124,2,1,32.5,0,0,13.0,2,1
125,1,0,54.0,0,1,77.2875,1,0
82,3,0,29.0,0,0,9.5,1,1
1263,1,1,31.0,0,0,134.5,2,1
180,3,0,36.0,0,0,0.0,1,0
450,1,0,52.0,0,0,30.5,5,1
1170,2,0,30.0,1,0,21.0,1,0
817,3,1,23.0,0,0,7.925,2,0
870,3,0,4.0,1,1,11.1333,4,1
1186,3,0,36.0,0,0,9.5,1,0
935,2,1,30.0,0,0,13.0,3,1
1152,3,0,36.5,1,0,17.4,1,0
489,3,0,30.0,0,0,8.05,1,0
455,3,0,25.0,0,0,8.05,1,0
880,1,1,56.0,0,1,83.1583,3,1
58,3,0,28.5,0,0,7.2292,1,0
784,3,0,25.0,1,2,23.45,1,0
481,3,0,9.0,5,2,46.9,4,0
55,1,0,65.0,0,1,61.9792,1,0
930,3,0,25.0,0,0,9.5,1,0
193,3,1,19.0,1,0,7.8542,2,1
1012,2,1,12.0,0,0,15.75,2,1
570,3,0,32.0,0,0,7.8542,1,1
630,3,0,25.0,0,0,7.7333,1,0
947,3,0,10.0,4,1,29.125,4,0
1069,1,0,54.0,1,0,55.4417,1,0
1010,1,0,36.0,0,0,75.2417,1,0
1079,3,0,17.0,2,0,8.05,1,0
724,2,0,50.0,0,0,13.0,1,0
602,3,0,25.0,0,0,7.8958,1,0
762,3,0,41.0,0,0,7.125,1,0
1023,1,0,53.0,0,0,28.5,5,0
864,3,1,25.0,8,2,69.55,2,0
716,3,0,19.0,0,0,7.65,1,0
968,3,0,25.0,0,0,8.05,1,0
540,1,1,22.0,0,2,49.5,2,1
844,3,0,34.5,0,0,6.4375,1,0
877,3,0,20.0,0,0,9.8458,1,0
203,3,0,34.0,0,0,6.4958,1,0
999,3,0,25.0,0,0,7.75,1,0
68,3,0,19.0,0,0,8.1583,1,0
171,1,0,61.0,0,0,33.5,1,0
882,3,0,33.0,0,0,7.8958,1,0
42,2,1,27.0,1,0,21.0,3,0
772,3,0,48.0,0,0,7.8542,1,0
990,3,1,20.0,0,0,7.8542,2,1
651,3,0,25.0,0,0,7.8958,1,0
119,1,0,24.0,0,1,247.5208,1,0
743,1,1,21.0,2,2,262.375,2,1
487,1,1,35.0,1,0,90.0,3,1
1215,1,0,33.0,0,0,26.55,1,0
799,3,0,30.0,0,0,7.2292,1,0
1043,3,0,25.0,0,0,7.8958,1,0
957,2,1,29.0,0,0,21.0,3,1
894,2,0,62.0,0,0,9.6875,1,0
1200,1,0,55.0,1,1,93.5,1,0
881,2,1,25.0,0,1,26.0,3,1
81,3,0,22.0,0,0,9.0,1,0
1050,1,0,42.0,0,0,26.55,1,0
1105,2,1,60.0,1,0,26.0,3,1
1039,3,0,22.0,0,0,8.05,1,0
1037,3,0,31.0,3,0,18.0,1,0
768,3,1,30.5,0,0,7.75,2,0
462,3,0,34.0,0,0,8.05,1,0
383,3,0,32.0,0,0,7.925,1,0
458,1,1,39.0,1,0,51.8625,3,1
641,3,0,20.0,0,0,7.8542,1,0
576,3,0,19.0,0,0,14.5,1,0
837,3,0,21.0,0,0,8.6625,1,0
425,3,0,18.0,1,1,20.2125,1,0
1032,3,1,10.0,5,2,46.9,2,1
310,1,1,30.0,0,0,56.9292,2,1
452,3,0,25.0,1,0,19.9667,1,0
905,2,0,63.0,1,0,26.0,1,0
594,3,1,25.0,0,2,7.75,2,0
982,3,1,22.0,1,0,13.9,3,1
940,1,1,60.0,0,0,76.2917,3,1
491,3,0,25.0,1,0,19.9667,1,0
734,2,0,23.0,0,0,13.0,1,0
282,3,0,28.0,0,0,7.8542,1,0
493,1,0,55.0,0,0,30.5,1,0
798,3,1,31.0,0,0,8.6833,3,1
1212,3,0,26.0,0,0,7.775,1,0
820,3,0,10.0,3,2,27.9,4,0
53,1,1,49.0,1,0,76.7292,3,1
814,3,1,6.0,4,2,31.275,2,0
314,3,0,28.0,0,0,7.8958,1,0
996,3,1,16.0,1,1,8.5167,3,1
719,3,0,25.0,0,0,15.5,1,0
132,3,0,20.0,0,0,7.05,1,0
580,3,0,32.0,0,0,7.925,1,1
198,3,0,42.0,0,1,8.4042,1,0
266,2,0,36.0,0,0,10.5,1,0
404,3,0,28.0,1,0,15.85,1,0
13,3,0,20.0,0,0,8.05,1,0
698,3,1,25.0,0,0,7.7333,2,1
190,3,0,36.0,0,0,7.8958,1,0
632,3,0,51.0,0,0,7.0542,1,0
238,2,1,8.0,0,2,26.25,2,1
21,2,0,35.0,0,0,26.0,1,0
586,1,1,18.0,0,2,79.65,2,1
860,3,0,25.0,0,0,7.2292,1,0
773,2,1,57.0,0,0,10.5,3,0
358,2,1,38.0,0,0,13.0,2,0
1018,3,0,22.0,0,0,7.7958,1,0
1088,1,0,6.0,0,2,134.5,4,0
763,3,0,20.0,0,0,7.2292,1,1
441,2,1,45.0,1,1,26.25,3,1
720,3,0,33.0,0,0,7.775,1,0
526,3,0,40.5,0,0,7.75,1,0
343,2,0,28.0,0,0,13.0,1,0
636,2,1,28.0,0,0,13.0,2,1
477,2,0,34.0,1,0,21.0,1,0
291,1,1,26.0,0,0,78.85,2,1
1304,3,1,28.0,0,0,7.775,2,1
965,1,0,28.5,0,0,27.7208,1,0
836,1,1,39.0,1,1,83.1583,2,1
679,3,1,43.0,1,6,46.9,3,0
215,3,0,25.0,1,0,7.75,1,0
1206,1,1,55.0,0,0,135.6333,3,1
648,1,0,56.0,0,0,35.5,5,1
634,1,0,39.0,0,0,0.0,1,0
137,1,1,19.0,0,2,26.2833,2,1
764,1,1,36.0,1,2,120.0,3,1
1112,2,1,30.0,1,0,13.8583,2,1
277,3,1,45.0,0,0,7.75,2,0
499,1,1,25.0,1,2,151.55,3,0
1124,3,0,21.0,1,0,6.4958,1,0
235,2,0,24.0,0,0,10.5,1,0
420,3,1,10.0,0,2,24.15,2,0
78,3,0,25.0,0,0,8.05,1,0
1168,2,0,28.0,0,0,10.5,1,0
1001,2,0,18.5,0,0,13.0,1,0
1209,2,0,19.0,0,0,10.5,1,0
351,3,0,23.0,0,0,9.225,1,0
553,3,0,25.0,0,0,7.8292,1,0
283,3,0,16.0,0,0,9.5,1,0
389,3,0,25.0,0,0,7.7292,1,0
187,3,1,25.0,1,0,15.5,3,1
1076,1,1,27.0,1,1,247.5208,3,1
324,2,1,22.0,1,1,29.0,3,1
510,3,0,26.0,0,0,56.4958,1,1
168,3,1,45.0,1,4,27.9,3,0
118,2,0,29.0,1,0,21.0,1,0
242,3,1,25.0,1,0,15.5,2,1
1130,2,1,18.0,1,1,13.0,2,1
786,3,0,25.0,0,0,7.25,1,0
529,3,0,39.0,0,0,7.925,1,0
1236,3,0,25.0,1,1,14.5,4,0
9,3,1,27.0,0,2,11.1333,3,1
563,2,0,28.0,0,0,13.5,1,0
447,2,1,13.0,0,1,19.5,2,1
691,1,0,31.0,1,0,57.0,1,1
1092,3,1,25.0,0,0,15.5,2,1
509,3,0,28.0,0,0,22.525,1,0
732,3,0,11.0,0,0,18.7875,1,0
335,1,1,39.0,1,0,133.65,3,1
255,3,1,41.0,0,2,20.2125,3,0
207,3,0,32.0,1,0,15.85,1,0
332,1,0,45.5,0,0,28.5,1,0
209,3,1,16.0,0,0,7.75,2,1
711,1,1,24.0,0,0,49.5042,2,1
790,1,0,46.0,0,0,79.2,1,0
1029,2,0,26.0,0,0,13.0,1,0
794,1,0,39.0,0,0,30.6958,1,0
338,1,1,41.0,0,0,134.5,2,1
303,3,0,19.0,0,0,0.0,1,0
931,3,0,25.0,0,0,56.4958,1,0
1176,3,1,2.0,1,1,20.2125,2,1
218,2,0,42.0,1,0,27.0,1,0
430,3,0,32.0,0,0,8.05,1,1
1111,3,0,25.0,0,0,8.05,1,0
789,3,0,1.0,1,2,20.575,4,1
252,3,1,29.0,1,1,10.4625,3,0
373,3,0,19.0,0,0,8.05,1,0
929,3,1,21.0,0,0,8.6625,2,1
501,3,0,17.0,0,0,8.6625,1,0
1233,3,0,32.0,0,0,7.5792,1,0
736,3,0,28.5,0,0,16.1,1,0
220,2,0,30.0,0,0,10.5,1,0
872,1,1,47.0,1,1,52.5542,3,1
115,3,1,17.0,0,0,14.4583,2,0
1284,3,0,13.0,0,2,20.25,4,0
22,2,0,34.0,0,0,13.0,1,1
978,3,1,27.0,0,0,7.8792,2,1
992,1,1,43.0,1,0,55.4417,3,1
843,1,1,30.0,0,0,31.0,2,1
606,3,0,36.0,1,0,15.55,1,0
525,3,0,25.0,0,0,7.2292,1,0
835,3,0,18.0,0,0,8.3,1,0
1198,1,0,30.0,1,2,151.55,1,0
658,3,1,32.0,1,1,15.5,3,0
1147,3,0,25.0,0,0,7.55,1,0
494,1,0,71.0,0,0,49.5042,1,0
141,3,1,25.0,0,2,15.2458,3,0
99,2,1,34.0,0,1,23.0,3,1
1033,1,1,33.0,0,0,151.55,2,1
546,1,0,64.0,0,0,26.0,1,0
286,3,0,33.0,0,0,8.6625,1,0
346,2,1,24.0,0,0,13.0,2,1
562,3,0,40.0,0,0,7.8958,1,0
428,2,1,19.0,0,0,26.0,2,1
1055,3,0,25.0,0,0,7.0,1,0
201,3,0,28.0,0,0,9.5,1,0
194,2,0,3.0,1,1,26.0,4,1
513,1,0,36.0,0,0,26.2875,1,1
507,2,1,33.0,0,2,26.0,3,1
779,3,0,25.0,0,0,7.7375,1,0
140,1,0,24.0,0,0,79.2,1,0
863,1,1,48.0,0,0,25.9292,3,1
461,1,0,48.0,0,0,26.55,1,1
222,2,0,27.0,0,0,13.0,1,0
1187,3,0,26.0,0,0,7.8958,1,0
251,3,0,25.0,0,0,7.25,1,0
93,1,0,46.0,1,0,61.175,1,0
267,3,0,16.0,4,1,39.6875,1,0
1116,1,1,53.0,0,0,27.4458,3,1
1234,3,0,25.0,1,9,69.55,1,0
1003,3,1,25.0,0,0,7.7792,2,1
480,3,1,2.0,0,1,12.2875,2,1
1144,1,0,27.0,1,0,136.7792,1,0
260,2,1,50.0,0,1,26.0,3,1
1231,3,0,25.0,0,0,7.2292,4,0
415,3,0,44.0,0,0,7.925,1,1
400,2,1,28.0,0,0,12.65,3,1
1173,3,0,0.75,1,1,13.775,4,0
842,2,0,16.0,0,0,10.5,1,0
690,1,1,15.0,0,1,211.3375,2,1
281,3,0,65.0,0,0,7.75,1,0
727,2,1,30.0,3,0,21.0,3,1
838,3,0,25.0,0,0,8.05,1,0
1305,3,0,25.0,0,0,8.05,1,0
178,1,1,50.0,0,0,28.7125,2,0
241,3,1,25.0,1,0,14.4542,2,0
862,2,0,21.0,1,0,11.5,1,0
1271,3,0,5.0,4,2,31.3875,4,0
25,3,1,8.0,3,1,21.075,2,0
1090,2,0,23.0,0,0,10.5,1,0
659,2,0,23.0,0,0,13.0,1,0
49,3,0,25.0,2,0,21.6792,1,0
367,1,1,60.0,1,0,75.25,3,1
